event_id,date,family,variant,service,platform,location_id,event_type,result,source_type,source_url,confidence,notes
MTI-2026-0014,2026-07-08,Pinaka,LRGR 120,Indian Army,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2282572,High,"Defence Research & Development Organisation (DRDO) conducted a successful flight-test of Pinaka Long Range Guided Rocket (LRGR) at the Integrated Test Range (ITR), Chandipur on July 08, 2026."
MTI-2026-0013,2026-06-15,LR-LACM,Base,DRDO,Ground Launcher,LOC-002,Development Test,Success,Official,https://www.pib.gov.in/PressReleaseDetail.aspx?PRID=2273160&reg=3&lang=1,High,Successful flight-test of indigenously developed LRLACM. All mission objectives met per ITR Chandipur tracking data. All sub-systems developed by DRDO labs and Indian industry; ADE Bengaluru is nodal lab.
MTI-2026-0012,2026-06-13,NASM-MR,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2272374&reg=48&lang=1,High,Maiden flight test. Ground based launcher.
MTI-2026-0010,2026-06-10,AD1,Base,DRDO,Ground Launcher,LOC-UNK,Technology Demonstration,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2272374&reg=48&lang=1,High,DRDO demo’d multi-layered defence against long range ballistic missiles. 3 test flights
MTI-2026-0011,2026-06-10,AD2,Base,DRDO,Ground Launcher,LOC-UNK,Technology Demonstration,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2272374&reg=48&lang=1,High,DRDO demo’d multi-layered defence against long range ballistic missiles. 3 test flights
MTI-2026-0009,2026-06-02,RudraM,2,DRDO,Su-30MKI,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2268099&reg=48&lang=1,High,Extreme release conditions test from a Su30MKI.
MTI-2026-0008,2026-05-22,Agni,1,SFC,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2264317&reg=48&lang=1,High,"Successfully test-fired from the Integrated Test Range in Chandipur, Odisha. Under the aegis of SFC. Note — could be a cover for an announced test."
MTI-2026-0007,2026-05-19,ULPGM,V3,DRDO,Ground Launcher,LOC-007,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2263045&reg=48&lang=1,High,"Completed the final deliverable configuration development trials in in Air-to-Ground and Air-to-Air modes. Tested at DRDO test range near Kurnool, Andhra Pradesh"
MTI-2026-0006,2026-05-09,Agni,V MIRV,DRDO,Ground Launcher,LOC-002,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2259380&reg=48&lang=1,High,Successful flight-tests from Dr APJ Abdul Kalam island off the coast of Odisha.
MTI-2026-0005,2026-04-29,NASM-SR,Base,Indian Navy,Sea King,LOC-006,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2256722&reg=48&lang=1,High,Salvo launch of 2 missiles from a single Naval Sea King helicopter. Off the coast of Bay of Bengal in Odisha
MTI-2026-0004,2026-02-27,VSHORADS,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2233776&reg=48&lang=1,High,"3 successive flight-trials from the Integrated Test Range in Chandipur, Odisha. Tests were carried out in final deployment configuration, where target acquisition & missile firing were carried out by field operators"
MTI-2026-0003,2026-02-06,Agni,3,SFC,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2224636&reg=48&lang=1,High,"Successfully test-fired from the Integrated Test Range in Chandipur, Odisha. Under the aegis of SFC."
MTI-2026-0002,2026-02-03,SFDR,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2222635&reg=48&lang=1,High,"Successfully test-fired from the Integrated Test Range in Chandipur, Odisha"
MTI-2026-0001,2026-01-11,MPATGM,Base,DRDO,Ground Launcher,LOC-008,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2213690&reg=3&lang=1,High,"Tested against a moving target in KK Ranges, Ahilya Nagar, Maharashtra"
MTI-2025-0019,2025-12-31,Pralay,Base,DRDO,Ground Launcher,LOC-001,User Trial,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210128&reg=3&lang=1,High,Salvo launch of two Pralay missiles in quick succession from the same launcher as part of user evaluation trials.
MTI-2025-0018,2025-12-29,Pinaka,LRGR 120,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2209588&reg=3&lang=1,High,"Maiden flight test conducted successfully at Integrated Test Range, Chandipur. Tested for its maximum range of 120 kms."
MTI-2025-0017,2025-12-23,Akash,NG,DRDO,Ground Launcher,LOC-UNK,User Trial,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2207971&reg=3&lang=1,High,"User evaluation trials successful, paving way for induction."
MTI-2025-0016,2025-09-24,Agni,Prime,SFC,Ground Launcher,LOC-UNK,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2170979&reg=3&lang=1,High,"Successful launch from a Rail based Mobile launcher system, under a full operational scenario, under SFC."
MTI-2025-0015,2025-08-24,IADWS,Base,DRDO,Ground Launcher,LOC-004,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2160257&reg=3&lang=1,High,"Maiden flight-tests comprising all indigenous Quick Reaction Surface to Air Missiles (QRSAM), Advanced Very Short Range Air Defence System (VSHORADS) missiles and a high-power laser-based Directed Energy Weapon (DEW)."
MTI-2025-0014,2025-08-20,Agni,V,SFC,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2158574&reg=3&lang=1,High,"Successfully test-fired from the Integrated Test Range in Chandipur, Odisha. Under the aegis of SFC."
MTI-2025-0013,2025-07-28,Pralay,Base,DRDO,Ground Launcher,LOC-002,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2149610&reg=3&lang=1,High,Two consecutive successful flight-tests from Dr APJ Abdul Kalam island off the coast of Odisha.
MTI-2025-0012,2025-07-25,ULPGM,V3,DRDO,Ground Launcher,LOC-007,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2148320&reg=3&lang=1,High,"Successful flight-trials of Unmanned Aerial Vehicle Launched Precision Guided Missile (ULPGM)-V3 at the National Open Area Range (NOAR) test range in Kurnool, Andhra Pradesh. Fired from NRT Beluga UAV."
MTI-2025-0011,2025-07-17,Prithvi-II,& Agni-I,SFC,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2145662&reg=3&lang=1,High,"Successfully test-fired from the Integrated Test Range in Chandipur, Odisha. Under the aegis of SFC. Note — could be a cover for an announced test. Prithvi and Agni notifications are routinely used to cover for more sensitive or experimental tests."
MTI-2025-0010,2025-07-14,ET,LDHCM,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,Media,https://zeenews.india.com/india/meet-india-s-mach-8-missile-et-ldhcm-hits-karachi-in-10-minutes-evades-all-defence-systems-2999131.html,Low,First flight test reported in unofficial sources.
MTI-2025-0009,2025-07-11,Astra,Mk1,DRDO,Su-30MKI,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2144118&reg=3&lang=1,High,"Flight test from Su30MKI. Local RF seeker upgrade. Fired off the coast of Odisha, near ITR."
MTI-2025-0008,2025-04-25,BrahMos,Base,Indian Navy,INS Surat,LOC-UNK,Development Test,Success,None,,Medium,INS Surat test fired.
MTI-2025-0007,2025-04-03,MRSAM,Base,Indian Army,Ground Launcher,LOC-002,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2118918&reg=3&lang=1,High,Four successful flight-tests of the Army version against high-speed aerial targets from Dr APJ Abdul Kalam Island.
MTI-2025-0006,2025-03-26,VL,SRSAM,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2115509&reg=3&lang=1,High,"Successful flight test from the Integrated Test Range (ITR), Chandipur at about 1200 hrs . The flight-test was carried out from a land-based vertical launcher against a high-speed aerial target at very close range and low altitude."
MTI-2025-0005,2025-03-12,Astra,Mk1,DRDO,Tejas LCA,LOC-001,Development Test,Failure,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2111068&reg=3&lang=1,Low,Successful test firing from a LCA Mk1 against aerial target. Unofficial sources mention unsuccessful trials from Tejas Mk1A.
MTI-2025-0004,2025-02-25,NASM,SR,Indian Navy,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2106482&reg=3&lang=1,High,"Successful flight-trials from Integrated Test Range (ITR), Chandipur from Indian Navy Seaking IN529."
MTI-2025-0003,2025-02-01,VSHORADS,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2098784&reg=3&lang=1,High,"Three successive flight-trials from Integrated Test Range (ITR), Chandipur against high-speed targets flying at very low altitude."
MTI-2025-0002,2025-01-15,BrahMos,Base,DRDO,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,Salvo launch of BrahMos supersonic cruise missiles by Kharga Crops of Western Command at Andaman & Nicobar islands.
MTI-2025-0001,2025-01-13,Nag,Mk2,DRDO,Ground Launcher,LOC-003,Induction Trial,Success,Official,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2092585&reg=3&lang=1,High,Field Evaluation Trials successful. Missile ready for induction. At Pokhran
MTI-2024-0030,2024-12-13,SFDR,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,
MTI-2024-0029,2024-12-07,Milan-2T,ATGM,BDL,,LOC-011,Internal Evaluation Trial,Success,MoD Annual Report 2024-2025,,High,"As part of Internal Evaluation trials, Milan-2T Anti-Tank Guided Missile (ATGM) with Indigenous critical sub systems successfully test fired "
MTI-2024-0028,2024-12,Akash,Upgraded RF Seeker,IAF,Ground Launcher,LOC-UNK,Annual Exercise Trial,Success,MoD Annual Report 2024-2025,,High,Trials for upgraded Akash missile with indigenous RF seeker which ensures higher accuracy of missiles were successfully conducted during the annual Ex-Astrashakti 
MTI-2024-0027,2024-11-27,K4,Base,Indian Navy,INS Arighaat,LOC-UNK,Operational Launch,Success,None,,Medium,First operational launch from INS Arighaat
MTI-2024-0026,2024-11-16,LR-AShM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,"First reveal of the missile, Second Flight test"
MTI-2024-0025,2024-11-14,Pinaka,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Guided Pinaka final tests
MTI-2024-0024,2024-11-12,LR-LACM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Maiden LR-LACM test
MTI-2024-0023,2024-11,LR-LACM,LRLACM-01,DRDO,,LOC-001,Flight Trial,Success,MoD Annual Report 2024-2025,,High,First live firing trial of indigenously developed Long Range Land Attack Cruise Missile (LR-LACM) was successfully carried out 
MTI-2024-0022,2024-10-03,VSHORADS,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,3 Successful flight tests of miniaturized version
MTI-2024-0021,2024-10,VSHORADS,Base,DRDO,,LOC-003,Flight Trial,Success,MoD Annual Report 2024-2025,,High,Flight trial of Very Short Range Air Defence System (VSHORADS) was carried out successfully 
MTI-2024-0020,2024-09-12,VLSRSAM,Base,Indian Navy,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Indian Navy flight tests
MTI-2024-0019,2024-09,VL-SRSAM,Base,DRDO/Indian Navy,Ship,LOC-001,Flight Trial,Success,MoD Annual Report 2024-2025,,High,The complete chain of VL-SRSAM Weapon system was validated during flight trials meeting all objectives satisfactorily 
MTI-2024-0018,2024-08,Gaurav,LRGB,DRDO,Su-30 Mk1,LOC-UNK,Release Flight Trial,Success,MoD Annual Report 2024-2025,,High,Release Flight Trial (RFT) of Gaurav-PCB was successfully completed in Aug 2024 after Carriage Flight trials 
MTI-2024-0017,2024-07-24,AD1,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Phase 2 BMD interceptor test
MTI-2024-0016,2024-05-29,RUDRAM-II,Base,DRDO,Su-30 Mk-I,LOC-001,Flight Trial,Success,MoD Annual Report 2024-2025,,High,"Air to Surface missile RudraM-II was successfully flight tested from Su-30 Mk-I fighter aircraft, validating the propulsion system and algorithms "
MTI-2024-0015,2024-05-01,SMART,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Third flight test
MTI-2024-0014,2024-04-13,MPATGM,Base,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Warhead Flight Trials
MTI-2024-0013,2024-04-03,Agni,P,SFC,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,Night trial with SFC
MTI-2024-0012,2024-04,ITCM,Base,DRDO,,LOC-001,Flight Trial,Success,MoD Annual Report 2024-2025,,High,"Launch was conducted with indigenous Small Turbo Fan Engine (STFE), demonstrating flawless performance and operability "
MTI-2024-0011,2024-03-11,Agni,V,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,None,,Medium,First MIRV test
MTI-2024-0010,2024-02-28,VSHORADS,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=2010345,High,"Flight tests from a ground based portable launcher. Flight Tested at Integrated Test Range, Chandipur, Odisha."
MTI-2024-0009,2024-02-17,SAMAR,Base,IAF,Ground Launcher,LOC-003,Exercise Trial,Success,MoD Annual Report 2024-2025,,High,Demonstrated IAF capability to deliver weapons accurately during Ex-Vayushakti-24
MTI-2024-0008,2024-01-12,Akash,NG,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1995445,High,"High speed Low altitude flight test against a target. Flight tested by DRDO. Flight Tested at Integrated Test Range, Chandipur, Odisha."
MTI-2024-0001,2024,Dhruvastra,ATGM,DRDO,ALH MK-IV,LOC-UNK,Flight Trial,Success,MoD Annual Report 2024-2025,,High,Flight trials for IIR seeker assessment and firing of Dhruvastra missile in limited envelope from Advanced Light Helicopter (ALH) MK-IV helicopter were conducted successfully 
MTI-2024-0002,2024,QRSAM,Base,DRDO,Ground Launcher,LOC-UNK,Flight Trial,Success,MoD Annual Report 2024-2025,,High,Successful firing of missile against Unmanned Aerial Vehicle (UAV) was demonstrated destroying the target with a combined profile of receding and crossing target 
MTI-2024-0003,2024,Akash,NG,DRDO,Ground Launcher,LOC-001,Flight Trial,Success,MoD Annual Report 2024-2025,,High,AKASH-NG guided missions were flight tested at ITR Balasore to intercept at low flying altitude 
MTI-2024-0004,2024,SLCM,Base,DRDO,Underwater Platform,LOC-UNK,Flight Trial,Success,MoD Annual Report 2024-2025,,High,"Two full range missions were conducted from under water platform to prove the ejection mechanism, underwater dynamics, and trajectory "
MTI-2024-0005,2024,ATGM,MBT Arjun Mk IA,DRDO/Indian Army,MBT Arjun,LOC-UNK,Instrumented Development Flight Trial,Success,MoD Annual Report 2024-2025,,High,Instrumented Development Flight Trials (IDFT) integrated with Laser Target Designator (LTD) were conducted by Indian Army in two phases for different ranges 
MTI-2024-0006,2024,SAAW,EO-SAAW Mk1,DRDO,,LOC-UNK,Flight Trial,Success,MoD Annual Report 2024-2025,,High,Three EO-SAAW with Cooled Seeker Mk1 have been flight tested and seeker guidance has been demonstrated successfully 
MTI-2024-0007,2024,ERASR,Base,DRDO,Ship,LOC-001,Validation Trial,Success,MoD Annual Report 2024-2025,,High,"Ship trials and Range Table Validation Trials at Balasore were evaluated successfully to assess range performance, accuracy and consistency of ERASR rockets "
MTI-2023-0035,2023-12-29,Akash,Base,Indian Army,Ground Launcher,LOC-009,Training Launch,Success,OSINT,https://x.com/SWComd_IA/status/1740739358658101592?s=20,High,"User training launch. Fired by Indian Army. Fired at Gopalpur Seaward Firing Range, Odisha."
MTI-2023-0034,2023-12-17,Akash,Base,IAF,Ground Launcher,LOC-004,Development Test,Success,OSINT,https://x.com/DRDO_India/status/1736349594362278140?s=20,High,User test. Test fired against 4 target simultaneously using command guidance. Fired by Indian Air Force and DRDO.
MTI-2023-0033,2023-12-07,Agni,1,SFC,Ground Launcher,LOC-002,Training Launch,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1983750,High,"User training launch. Fired under the aegis of SFC. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0032,2023-11-22,Brahmos,ER,Indian Navy,INS Imphal,LOC-005,Development Test,Success,OSINT,https://x.com/IN_WNC/status/1727180987065585679?s=20,High,First firing from INS Imphal. Fired by Indian Navy. Fired in Arabian Sea.
MTI-2023-0031,2023-11-21,NASM-SR,Base,Indian Navy,Sea King,LOC-001,Development Test,Success,Official,https://twitter.com/indiannavy/status/1726869839657255406?t=TVSrQZk5F-Ua4mNzvFWG-w&s=19,High,"Successful guided flight trial by Indian Navy and DRDO. The missile was tested for a range of 35 km, using an indigenous IR Seeker for its Terminal Guidance in ‘Lock-on after Launch’ mode. Fired from a modified Sea King 42B IN529. Flight Tested at Integrated Test Range, Chandipur, Odisha."
MTI-2023-0030,2023-11-08,Pralay,Base,DRDO,Ground Launcher,LOC-002,Development Test,Success,Media,https://www.thehindu.com/news/national/india-successfully-test-fires-pralay-missile-off-odisha-coast/article67507783.ece,High,"Third launch test. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0029,2023-10-18,Brahmos,ER ALCM,IAF,Ground Launcher,LOC-006,Development Test,Success,None,,Medium,ER version of ALCM. Test fired by Indian Air Force. Fired at Bay of Bengal.
MTI-2023-0027,2023-10-10,Brahmos,Base,IAF,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,Surface to surface version. Test fired by Indian Air Force under the aegis of ANC. Fired at Andaman and Nicobar Islands.
MTI-2023-0028,2023-10-10,Brahmos,ER,Indian Army,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,ER version. Test fired by Indian Army. Fired at Andaman and Nicobar Islands.
MTI-2023-0026,2023-10-06,LR-AShM,Base,DRDO,Ground Launcher,LOC-001,Development Test,Success,Official,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1989502,High,"First test flight. Flight Tested at Integrated Test Range, Chandipur, Odisha."
MTI-2023-0024,2023-10-01,Brahmos,Base,Indian Army,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,Fired by Indian Army. Fired at Andaman and Nicobar Islands.
MTI-2023-0025,2023-10-01,Brahmos,Base,Indian Army,Ground Launcher,LOC-004,Development Test,Success,None,,Medium,Fired by Indian Army. Fired at Andaman and Nicobar Islands.
MTI-2023-0023,2023-08-23,Astra,Mk1,DRDO,Tejas LCA,LOC-UNK,Development Test,Success,Media,https://indianexpress.com/article/india/indigenous-astra-missile-tested-from-tejas-8906435/,High,First test flight from the LCA platform. Fired off LSP-7.
MTI-2023-0022,2023-07-01,K,15,DRDO,Ground Launcher,LOC-002,Training Launch,Success,None,,Medium,"Training launch. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0021,2023-06-08,Agni-P,Base,SFC,Ground Launcher,LOC-002,Induction Trial,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1930689,High,"First pre-induction night flight test by Strategic Forces Command. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0020,2023-06-01,Agni,1,SFC,Ground Launcher,LOC-002,Training Launch,Success,Official,https://pib.gov.in/PressReleseDetail.aspx?PRID=1929176,High,"Training launch. Fired by Strategic Forces Command. Fired at Dr APJ Abdul Kalam Island, Odisha."
MTI-2023-0019,2023-05-14,BrahMos,Base,Indian Navy,INS Mormugao,LOC-005,Development Test,Success,OSINT,https://twitter.com/IN_WNC/status/1657593651134881792,High,Anti-ship variant fired from INS Mormugao. Fired in Arabian Sea.
MTI-2023-0018,2023-04-21,Sea-Based,Endo-Atmospheric Interceptor,Indian Navy,Ground Launcher,LOC-006,Development Test,Success,Official,https://pib.gov.in/PressReleasePage.aspx?PRID=1918799,High,Maiden flight test of Naval BMD capability conducted by Indian Navy with DRDO. Fired off coast of Odisha.
MTI-2023-0017,2023-03-26,AMOGHA,III,DRDO,Ground Launcher,LOC-UNK,Development Test,Success,OSINT,https://twitter.com/bharat_dynamics/status/1640669737872142337,High,Successful test firing of the system.
